compiler,circuit,status,qubits,two_qubit_gates,move_batches,compile_wall_seconds,compiler_total_seconds,cir_duration,cir_fidelity,error_type,error
zac,bv_n14_transpiled,ok,14,13,26,7.42863959999886,5.913816928863525,4229.317261521813,0.845708504051609,,
zac_search,bv_n14_transpiled,ok,14,13,26,7.549668199997541,6.020313501358032,4229.317261521813,0.845708504051609,,
