circuit,qubits,gates_1q,gates_2q,M1__fidelity,M1__move_batches,M1__move_time_ms,M1__algorithm_time_s,M1__valid_over_N,M1__status,M2__fidelity,M2__move_batches,M2__move_time_ms,M2__algorithm_time_s,M2__valid_over_N,M2__status,M3__fidelity,M3__move_batches,M3__move_time_ms,M3__algorithm_time_s,M3__valid_over_N,M3__status,M4__fidelity,M4__move_batches,M4__move_time_ms,M4__algorithm_time_s,M4__valid_over_N,M4__status,M3__initial_placement_s,M3__transition_decision_s,M3__problem_preparation_s,M3__search_kernel_s,M3__result_commit_s,M3__transition_residual_s,M3__routing_s,M3__return_match_s,M3__forecast_s,M4__initial_placement_s,M4__transition_decision_s,M4__problem_preparation_s,M4__search_kernel_s,M4__result_commit_s,M4__transition_residual_s,M4__routing_s,M4__return_match_s,M4__forecast_s
4gt5_76,5,79,46,0.6264548113306613,77.0,7.308292786733188,7.953877916,1/1,success,0.6259927877065123,78.0,7.4241449447355885,0.01423275,1/1,success,0.6327358902614418,78.0,7.495525890068501,2.667595958,1/1,success,0.6233918072905074,61.0,6.258492990539773,5.52082775,1/1,success,2.084475166,0.554275167,0.049273583,0.405534211,0.067482412,0.031984961,0.005959034,0.002347831,0.000819178,2.098289,3.393466875,0.053923796,3.236309413,0.069942628,0.033291038,0.004672289,0.002353793,1.096167483
4gt5_77,5,109,58,0.5436857762266762,105.0,9.966118224837242,7.306405917,1/1,success,0.5432817575873582,105.0,10.083082940082905,0.017429333,1/1,success,0.5467923340978216,104.0,12.651440311679835,2.615280208,1/1,success,0.5409050277288421,75.0,7.953489121547699,6.154045416,1/1,success,1.950844,0.6314185,0.079351998,0.427632124,0.091361084,0.033073294,0.007948875,0.002897851,0.001087291,1.948932625,4.174050833,0.082950711,3.969228625,0.088904999,0.032966498,0.006378889,0.002349954,1.4574252
4mod5-bdd_287,7,56,31,0.7160364109986639,61.0,6.041651753965435,7.862939,1/1,success,0.7156722915736339,60.0,5.942057730718415,0.01094125,1/1,success,0.7194515477996618,59.0,5.819910206877833,2.405725417,1/1,success,0.7142783772471228,39.0,4.076375133354373,3.556982875,1/1,success,2.013894666,0.365373292,0.036211625,0.248463999,0.049820461,0.030877207,0.004496813,0.001324899,0.00065218,1.999498125,1.532252334,0.038549539,1.414177045,0.048342418,0.031183332,0.003267765,0.000889125,0.556577123
4mod5-v0_18,5,61,31,0.7300942226597257,56.0,5.286856033523669,7.064260584,1/1,success,0.7298691888794698,56.0,5.3268769846794735,0.010090875,1/1,success,0.7332064610569251,55.0,5.199708706500733,2.299420708,1/1,success,0.7245682634126596,39.0,3.878537339426407,3.516588292,1/1,success,1.928239375,0.3457035,0.036328169,0.228866998,0.049029128,0.031479205,0.003968477,0.001307008,0.000648861,1.979132417,1.512321417,0.040456418,1.389907873,0.050258374,0.031698752,0.003046036,0.000949439,0.521779177
4mod5-v0_19,5,30,16,0.843203146236282,32.0,3.0966036548545857,5.442179791,1/1,success,0.8426505631703021,32.0,3.136733762443699,0.005956667,1/1,success,0.846914787454543,31.0,2.9678591560793754,1.880791,1/1,success,0.8415119967507206,22.0,2.291029321276628,2.375144292,1/1,success,1.661202667,0.197172833,0.018233665,0.109396708,0.03857804,0.03096442,0.002262354,0.000729042,0.000348763,1.623333791,0.7302165,0.032018207,0.643815128,0.024153917,0.030229248,0.00178051,0.000483355,0.242399324
4mod5-v0_20,5,18,10,0.8972913783913241,18.0,2.130966744343222,4.6467585,1/1,success,0.8980827304883225,17.0,1.7629457914334103,0.003896292,1/1,success,0.9038635405498091,17.0,1.7251788697943309,1.617064208,1/1,success,0.9013681887466415,13.0,1.3650368447854853,1.876234833,1/1,success,1.4896985,0.1074825,0.009115459,0.0442885,0.024510793,0.029567748,0.001320362,0.000300922,0.000144115,1.501076291,0.354897625,0.010219666,0.287579125,0.026560084,0.03053875,0.001248598,0.00024597,0.082611186
4mod5-v1_22,5,20,11,0.8887055572739078,20.0,2.0075564735723406,4.713528459,1/1,success,0.8887255660431952,19.0,1.9488140945222097,0.004415417,1/1,success,0.8945983454258576,19.0,1.9121092245677849,1.645918417,1/1,success,0.8920384757429038,15.0,1.5513805454770446,1.968941416,1/1,success,1.497344708,0.128022291,0.010854999,0.059107834,0.027591625,0.030467833,0.001513004,0.000362714,0.000178205,1.504080125,0.443273375,0.011647583,0.36947621,0.030906248,0.031243334,0.001281023,0.000328456,0.104365219
4mod5-v1_23,5,57,32,0.7096222952855918,61.0,5.761715226057468,7.126534292,1/1,success,0.7092644047559475,61.0,5.808279315177253,0.010240875,1/1,success,0.7182087563462835,60.0,5.7826616821951315,2.313913417,1/1,success,0.7131726585871364,40.0,4.136799118024493,3.541120792,1/1,success,1.931416834,0.355853875,0.035014956,0.241527875,0.04796342,0.031347624,0.004472017,0.001234925,0.000649102,1.881462792,1.634863042,0.050244666,1.506395165,0.047373462,0.030849749,0.003245592,0.000861943,0.58364981
4mod5-v1_24,5,29,16,0.8399214307312504,32.0,3.1056906486753157,5.494451708,1/1,success,0.8398658532358505,31.0,3.0734885740029476,0.005498334,1/1,success,0.8435200129099667,31.0,3.0119287624037447,1.915982416,1/1,success,0.8379504278993637,22.0,2.2981193510587916,3.343032541,1/1,success,1.624071541,0.269952167,0.01684475,0.198650376,0.023726459,0.030730582,0.002332687,0.00082312,0.000316527,1.680268417,1.640284125,0.019332126,1.565313375,0.024256332,0.031382292,0.001801968,0.000810585,0.282637741
4mod7-v0_94,5,130,70,0.48025118120940175,129.0,12.184608340405989,8.065597542,1/1,success,0.4800586396713611,127.0,12.09557720743488,0.023551583,1/1,success,0.4839352124698616,129.0,12.37419205053934,3.019035416,1/1,success,0.47232861436881496,92.0,9.180291546383192,8.031910625,1/1,success,2.104643917,0.877863541,0.09578721,0.6303155,0.116590957,0.035169874,0.009734154,0.003734025,0.001428318,2.101438709,5.89610075,0.082487376,5.667820042,0.110818451,0.034974881,0.007922649,0.003099471,1.705664393
