filename,Atomique,Atomique,Enola,Enola,NALAC,NALAC,ZAC-Vanilla,ZAC-Vanilla,ZAC-dynPlace,ZAC-dynPlace,ZAC-dynPlace+reuse,ZAC-dynPlace+reuse,ZAC-SA+dynPlace+reuse,ZAC-SA+dynPlace+reuse
x,total,cir_fidelity,total,cir_fidelity,total,cir_fidelity,total,cir_fidelity,total,cir_fidelity,total,cir_fidelity,total,cir_fidelity
bv_n14,17.651958227157593,0.5857659414994522,33.56482529640198,0.5696718024361337,1.477,0.5764938637678152,0.009087324142456055,0.8156229610348557,0.0236051082611084,0.812016725706648,0.06828761100769043,0.8570605197612543,13.801785945892334,0.8571652757801561
bv_n19,17.947968244552612,0.3746358224975992,34.85426473617554,0.35590876426718104,1.506,0.36905860320629874,0.0123748779296875,0.7441697513824077,0.033802032470703125,0.7340500138075553,0.05399799346923828,0.7980146792479179,14.5660560131073,0.7977213843395767
bv_n30,18.210681438446045,0.21755429980119784,28.350064277648926,0.2050464906728627,1.513,0.3571650529983922,0.013362646102905273,0.717494741655548,0.037824153900146484,0.7124248076759295,0.0628519058227539,0.7703725834046048,9.539519548416138,0.7728984342939629
bv_n70,19.106960773468018,0.0009638552050670146,28.956028699874878,0.0007113719398733092,1.93,0.09062808165551255,0.03273153305053711,0.3502840683955003,0.10303735733032227,0.39253704756958485,0.16569042205810547,0.44748005051502465,8.40641164779663,0.45169115418047656
cat_n22,14.754220485687256,0.11130393611049304,35.97029232978821,0.2535956128358014,10.609,0.49328905453748856,0.014499902725219727,0.7051910154965322,0.038251399993896484,0.6985991706968484,0.06311655044555664,0.7620962330351111,17.66300868988037,0.7620962330351111
cat_n35,20.225892305374146,0.0005719908290735891,37.5631365776062,0.031840940848243904,16.069,0.20245473836908467,0.025925397872924805,0.5378044160542768,0.06258988380432129,0.5298159045838564,0.11363029479980469,0.5948632840228434,18.583184242248535,0.5948632840228434
ghz_n23,13.588840007781982,0.13370758797486648,38.521986961364746,0.2237481391575646,11.034,0.4664338686370253,0.015187501907348633,0.6916523475907983,0.03948783874511719,0.6848937711753682,0.06581330299377441,0.7509457285568552,17.761860609054565,0.7509457285568552
ghz_n40,19.71475386619568,0.00011363296712416427,37.198519468307495,0.0111891247732597,19.018,0.13062201132440485,0.029849529266357422,0.47912833521386844,0.07216596603393555,0.4710345056260516,0.1353609561920166,0.5308785892598371,18.79526138305664,0.5308785892598371
ghz_n78,20.865092992782593,2.4035783637073758e-14,43.13102316856384,4.1624993585335876e-08,34.928,0.0007169036636918827,0.07146739959716797,0.1623735207416066,0.1559145450592041,0.15701922184333464,0.30878353118896484,0.1832812901313134,19.600324153900146,0.1832812901313134
ising_n42,20.944045543670654,0.023726042391385697,55.69630432128906,0.2761282679300141,3.521,0.18616612737704885,0.02865004539489746,0.28881671981037443,0.09856963157653809,0.28340392125233155,0.09213399887084961,0.45657264365824496,18.77219557762146,0.45657264365824496
ising_n98,22.242241144180298,6.131379097658795e-16,69.9239912033081,0.014924076130118705,12.496,0.0023294569854409425,0.15260028839111328,0.0528857488267686,0.3998839855194092,0.04929714697989095,0.3610191345214844,0.15528452763723904,19.605613946914673,0.15528452763723904
knn_n31,21.343328952789307,9.959152750364122e-11,80.92114114761353,0.0006695286933058835,12.748,0.05760401782875955,0.06301760673522949,0.1365653586605831,0.18436217308044434,0.15592748616611418,0.3014969825744629,0.2496640495789827,22.97886633872986,0.25121152957695536
multiply_n13,19.726996898651123,0.023448242407559192,69.74518895149231,0.352022134707753,5.232,0.4747454156152407,0.018791913986206055,0.5332349106724142,0.06106281280517578,0.5476353908201306,0.08597636222839355,0.6493564024890356,27.002575874328613,0.6485566343515687
qft_n18,22.511966466903687,2.2058338853023266e-11,296.32794284820557,0.003159493728532194,18.012,0.005149685874375035,0.10672426223754883,0.006035518133422817,0.3850085735321045,0.009839490282587722,0.3848714828491211,0.07851660577749138,130.34344363212585,0.08133900221128934
seca_n11,20.357044458389282,0.015272978755122115,133.25024676322937,0.20716663671175403,0,0.24660304709715147,0.03327226638793945,0.2949986020662303,0.11685609817504883,0.32000740813932915,0.15732121467590332,0.4428502030876394,27.457645654678345,0.44579379584413864
swap_test_n25,21.016783237457275,1.1510849484801174e-07,76.7542200088501,0.008177314746427293,0,0.13268388507338333,0.04788613319396973,0.22333568626063832,0.14223027229309082,0.2421465729188765,0.22955632209777832,0.3442626732915083,23.51672124862671,0.3423760980691889
wstate_n27,20.027719259262085,0.0022525406934293685,52.836031436920166,0.08827217244436442,0,0.2119316060738116,0.02443838119506836,0.42616276593502644,0.06523728370666504,0.4301147793453438,0.12413835525512695,0.5219337972284739,18.411855697631836,0.5219337972284739
