filename,SC-Heron,SC-Heron,SC-Heron,SC-Heron,SC-Heron,SC-Heron,SC-Grid,SC-Grid,SC-Grid,SC-Grid,SC-Grid,SC-Grid,Monolithic-Atomique,Monolithic-Atomique,Monolithic-Atomique,Monolithic-Atomique,Monolithic-Atomique,Monolithic-Atomique,Monolithic-Enola,Monolithic-Enola,Monolithic-Enola,Monolithic-Enola,Monolithic-Enola,Monolithic-Enola,Zoned-NALAC,Zoned-NALAC,Zoned-NALAC,Zoned-NALAC,Zoned-NALAC,Zoned-NALAC,Zoned-ZAC,Zoned-ZAC,Zoned-ZAC,Zoned-ZAC,Zoned-ZAC,Zoned-ZAC
x,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_duration,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_duration,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_duration,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_duration,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_duration,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_duration
bv_n14,0.8238162492725949,0.9607702107358118,1,1,0.8811885451973572,3.347999999999999,0.840028065653768,0.9743224148844496,1,1,0.8691793813479047,1.0910000000000002,0.5857659414994522,0.9369146928798039,0.6550596316118702,1,0.9627691355072553,3890.5255690809468,0.5696718024361337,0.9369146928798039,0.6767263388387882,0.9512056281970315,0.9522598978302601,5291.447929420784,0.5764938637678152,0.9369146928798039,0.6767263388387883,0.947406509114141,0.9678182696717993,2980.516188393861,0.8571652757801561,0.9369146928798039,1,0.9455126435024226,0.9757662663445136,2790.817261521812
bv_n19,0.7211390176411965,0.9521577859830144,1,1,0.7837276527737482,4.463999999999999,0.7115468177586973,0.9617319426784903,1,1,0.7481192535869057,1.5700000000000005,0.3746358224975992,0.9137248860125932,0.4444071240318654,1,0.9334581334316756,5257.604938756165,0.35590876426718104,0.9137248860125932,0.4648884257804501,0.9323611649219127,0.9086815530401684,7603.98595241956,0.36905860320629874,0.9137248860125932,0.46488842578045,0.9286373107007021,0.9463171648916214,3606.14670442002,0.7977213843395767,0.9137248860125932,1,0.9267809647166124,0.9528189271130505,3975.391001440943
bv_n30,0.6751266530029802,0.9455126435024219,1,1,0.7424341480144557,5.139999999999999,0.6449808528340397,0.9617319426784903,1,1,0.6809864708067325,2.0210000000000004,0.21755429980119784,0.9137248860125932,0.27072980801307034,1,0.8898117786181198,5704.1801228577915,0.2050464906728627,0.9137248860125932,0.28320687822730584,0.9323611649219127,0.8593504461004327,7602.059566794384,0.3571650529983922,0.9137248860125932,0.46488842578045,0.9286373107007021,0.9158204616161504,3606.14670442002,0.7728984342939629,0.9137248860125932,1,0.9267809647166124,0.9231697574974915,4096.082772306836
bv_n70,0.08056447712862358,0.8842092457380011,1,1,0.09990634336069187,10.415999999999997,0.03687912172666814,0.9029834676116286,1,1,0.04226256682001331,4.095999999999993,0.0009638552050670146,0.8348931673187264,0.0019936752948391118,1,0.5922424797901654,11081.591518175806,0.0007113719398733092,0.8348931673187264,0.002181674071985352,0.8675596164681794,0.4647177509769666,16376.02693790186,0.09062808165551255,0.8348931673187264,0.21183645615829058,0.8623672548254323,0.6135950747954747,8787.054062987203,0.45169115418047656,0.8348931673187264,1,0.8520755747117411,0.6556551954439869,9132.355654620213
cat_n22,0.625168763062454,0.947406509114141,1,1,0.6828353647028155,4.921999999999999,0.5445288078926865,0.9578907814534663,1,1,0.5696617008985002,1.906000000000001,0.11130393611049304,0.8866535105013078,0.14625494119166488,1,0.8707647027347122,6166.665244450656,0.2535956128358014,0.9000874278732445,0.3494779911746322,0.9212341621210596,0.8864830059587089,8257.68761061024,0.49328905453748856,0.9000874278732445,1.0,0.8815592697443151,0.6297504787527015,30009.930999029184,0.7620962330351111,0.9000874278732445,1,0.9157205572498957,0.9366242433360368,4619.7624010741665
cat_n35,0.3321332399433152,0.912976141824096,1,1,0.38582757225414066,8.151999999999997,0.2154851477265379,0.9295668775782804,1,1,0.23313772343099884,3.1899999999999955,0.0005719908290735891,0.7822236754458713,0.0011756478309528679,1,0.6397787396039366,11793.940623008406,0.031840940848243904,0.8433051360508336,0.06029463779079268,0.8745314299402548,0.7310351817526654,13437.858456789374,0.20245473836908467,0.8433051360508335,1.0,0.8153791427799212,0.3005902203456926,48730.61343373297,0.5948632840228434,0.8433051360508336,1,0.8692973418545477,0.8284290352609308,8208.30887081485
ghz_n23,0.6883790768574953,0.9550199818235595,1,1,0.7420874187242837,4.202999999999999,0.5479946342791296,0.959809440525076,1,1,0.572141491857968,1.8220000000000012,0.13370758797486648,0.8955869907338783,0.17166615053978207,1,0.8815104489016634,5623.029924780201,0.2237481391575646,0.8955869907338783,0.314602242346932,0.9175547491935327,0.8772466322654733,8582.290524265309,0.4664338686370253,0.8955869907338783,1.0,0.8762831198969281,0.6024232305680759,31440.13784760977,0.7509457285568552,0.8955869907338783,1,0.9120631656822731,0.9318364903871359,4759.580876789557
ghz_n40,0.29647643510060423,0.902080484144017,1,1,0.35003345115104256,8.330999999999996,0.15471684177180758,0.9148048366926447,1,1,0.1697864946256466,3.5349999999999944,0.00011363296712416427,0.7628626641409962,0.0002624864914283082,1,0.5854678473387888,12778.740234116398,0.0111891247732597,0.8224322824348486,0.02448636166282117,0.857205969570888,0.663713795470605,15365.942102998879,0.13062201132440485,0.8224322824348484,1.0,0.7912691702140646,0.20553524084528826,56033.27204824997,0.5308785892598371,0.8224322824348486,1,0.8520755747117412,0.7757312166134218,9656.330665710744
ghz_n78,0.00013221352491720202,0.7024531167280339,1,1,0.00023402490070353896,31.684999999999995,1.1701233661307393e-05,0.7640404167313921,1,1,1.5402498280788273e-05,10.791999999999966,2.4035783637073758e-14,0.6027415843082742,2.7248875137604783e-13,1,0.15511660211600017,23199.44959999284,4.1624993585335876e-08,0.6797938283326578,4.348268041895779e-07,0.7362738857656108,0.20036367124092663,30687.182729266497,0.0007169036636918827,0.6797938283326577,1.0,0.6298767245155702,0.0017539844759440354,114945.93085481867,0.1832812901313134,0.6797938283326578,1,0.7173681503955105,0.39372822412698577,17986.10712235585
