filename,Vanilla,Vanilla,Vanilla,Vanilla,Vanilla,Vanilla,dynPlace,dynPlace,dynPlace,dynPlace,dynPlace,dynPlace,dynPlace+reuse,dynPlace+reuse,dynPlace+reuse,dynPlace+reuse,dynPlace+reuse,dynPlace+reuse,SA+dynPlace+reuse,SA+dynPlace+reuse,SA+dynPlace+reuse,SA+dynPlace+reuse,SA+dynPlace+reuse,SA+dynPlace+reuse
x,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_duration,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_duration,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_duration,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_duration
bv_n14,0.8156229610348557,0.9369146928798039,1,0.9011784036598739,0.974153149808277,3019.1863155294386,0.812016725706648,0.9369146928798039,1,0.9011784036598739,0.9698459813349103,3493.0011458449712,0.8570605197612543,0.9369146928798039,1,0.9455126435024226,0.9756470158425052,2803.889238336421,0.8571652757801561,0.9369146928798039,1,0.9455126435024226,0.9757662663445136,2790.817261521812
bv_n19,0.7441697513824077,0.9137248860125932,1,0.8658253647948599,0.9514324399368794,4143.724542163135,0.7340500138075553,0.9137248860125932,1,0.86582536479486,0.9384942002483179,5221.455114570291,0.7980146792479179,0.9137248860125932,1,0.9267809647166124,0.9531692460908032,3946.4435318615697,0.7977213843395767,0.9137248860125932,1,0.9267809647166124,0.9528189271130505,3975.391001440943
bv_n30,0.717494741655548,0.9137248860125932,1,0.8658253647948599,0.9173280309057142,4446.592252541319,0.7124248076759295,0.9137248860125932,1,0.8658253647948602,0.9108460425588528,4800.0943629754875,0.7703725834046048,0.9137248860125932,1,0.9267809647166124,0.9201528162675179,4259.307112408098,0.7728984342939629,0.9137248860125932,1,0.9267809647166124,0.9231697574974915,4096.082772306836
bv_n70,0.3502840683955003,0.8348931673187264,1,0.7496535623221524,0.5779254418222032,11845.15882024376,0.39253704756958485,0.8348931673187264,1,0.7496535623221526,0.647637637895922,9421.804837326194,0.44748005051502465,0.8348931673187264,1,0.8554924148377171,0.6469482653704716,9416.221351518487,0.45169115418047656,0.8348931673187264,1,0.8520755747117411,0.6556551954439869,9132.355654620213
cat_n22,0.7051910154965322,0.9000874278732445,1,0.845282780573504,0.9389085464130825,4508.708019198028,0.6985991706968484,0.9000874278732445,1,0.8452827805735041,0.9301320032027384,5147.073577160163,0.7620962330351111,0.9000874278732445,1,0.9157205572498957,0.9366242433360368,4619.7624010741665,0.7620962330351111,0.9000874278732445,1,0.9157205572498957,0.9366242433360368,4619.7624010741665
cat_n35,0.5378044160542768,0.8433051360508336,1,0.76175058683841,0.854708584066407,6933.061847244048,0.5298159045838564,0.8433051360508336,1,0.7617505868384101,0.842012798900165,7571.427405206184,0.5948632840228434,0.8433051360508336,1,0.8692973418545477,0.8284290352609308,8208.30887081485,0.5948632840228434,0.8433051360508336,1,0.8692973418545477,0.8284290352609308,8208.30887081485
ghz_n23,0.6916523475907983,0.8955869907338783,1,0.8385441389700589,0.9335079186863279,4697.841791741169,0.6848937711753682,0.8955869907338783,1,0.838544138970059,0.924386017163363,5336.207349703304,0.7509457285568552,0.8955869907338783,1,0.9120631656822731,0.9318364903871359,4759.580876789557,0.7509457285568552,0.8955869907338783,1,0.9120631656822731,0.9318364903871359,4759.580876789557
ghz_n40,0.47912833521386844,0.8224322824348486,1,0.7318672718448679,0.8151052741502772,7867.268971621483,0.4710345056260516,0.8224322824348486,1,0.731867271844868,0.8013358460028931,8502.76909499905,0.5308785892598371,0.8224322824348486,1,0.8520755747117412,0.7757312166134218,9656.330665710744,0.5308785892598371,0.8224322824348486,1,0.8520755747117412,0.7757312166134218,9656.330665710744
ghz_n78,0.1623735207416066,0.6797938283326578,1,0.5399340883485078,0.46344154804057647,14939.734944878164,0.15701922184333464,0.6797938283326578,1,0.5399340883485078,0.44815947151261903,15578.100502840303,0.1832812901313134,0.6797938283326578,1,0.7173681503955105,0.39372822412698577,17986.10712235585,0.1832812901313134,0.6797938283326578,1,0.7173681503955105,0.39372822412698577,17986.10712235585
ising_n42,0.28881671981037443,0.6629680834613703,1,0.5187525878460407,0.8768670890659509,5099.494764773536,0.28340392125233155,0.6629680834613703,1,0.5187525878460412,0.8604334666689931,5772.915883296953,0.45657264365824496,0.6629680834613703,1,0.7802631200940581,0.9215958737944292,3181.445741536922,0.45657264365824496,0.6629680834613703,1,0.7802631200940581,0.9215958737944292,3181.445741536922
ising_n98,0.0528857488267686,0.3781618071286901,1,0.2116594809245758,0.7316913988220541,5193.349080882994,0.04929714697989095,0.3781618071286901,1,0.21165948092457584,0.6820419343934011,6265.067749036167,0.15528452763723904,0.3781618071286901,1,0.5575003238156508,0.8156617181891707,3386.6879537596146,0.15528452763723904,0.3781618071286901,1,0.5575003238156508,0.8156617181891707,3386.6879537596146
knn_n31,0.1365653586605831,0.5907768628656768,1,0.4315291221619155,0.5608465709864121,28388.672578597503,0.15592748616611418,0.5907768628656768,1,0.4315291221619155,0.6403629499933899,22078.2244546771,0.2496640495789827,0.5907768628656768,1,0.6186348025557735,0.7152128212029619,16622.107434367666,0.25121152957695536,0.5907768628656768,1,0.6211155405084055,0.7167716199501311,16515.956721031987
multiply_n13,0.5332349106724142,0.8183201210226748,1,0.7260327850203431,0.9118962523416891,11187.569016540581,0.5476353908201306,0.8183201210226748,1,0.7260327850203423,0.936522816761608,8131.44447457369,0.6493564024890356,0.8183201210226748,1,0.8554924148377168,0.9424320609095248,7219.936795566021,0.6485566343515687,0.8183201210226748,1,0.855492414837717,0.9412713314069686,7361.481981694513
qft_n18,0.006035518133422817,0.21570623976979011,1,0.08636050578808448,0.35707252169394516,86397.41534599726,0.009839490282587722,0.21570623976979011,1,0.08636050578808334,0.5821226164379385,47406.70929338091,0.07851660577749138,0.21570623976979011,1,0.5229213460638852,0.767153366780266,23415.343402488787,0.08133900221128934,0.21570623976979011,1,0.5229213460638851,0.7947298380902045,20512.55976446989
qft_n29,2.3976901778212377e-07,0.01759555950230475,1,0.0015785853976124451,0.011093262746730793,220515.4091436127,4.82687312481686e-06,0.01759555950230475,1,0.0015785853976123874,0.22332231375859204,80425.5038790675,0.0010780802840424286,0.01759555950230475,1,0.1862173832738319,0.42282942301332405,46256.916291223344,0.0010780802840424286,0.01759555950230475,1,0.1862173832738319,0.42282942301332405,46256.916291223344
seca_n11,0.2949986020662303,0.6696478204705647,1,0.5271236049243958,0.8611758112615859,21593.14861114664,0.32000740813932915,0.6696478204705647,1,0.527123604924393,0.9341828652199324,10605.916756070454,0.4428502030876394,0.6696478204705647,1,0.7407070321561016,0.9200145799660303,12212.101703299782,0.44579379584413864,0.6696478204705647,1,0.7407070321561015,0.9261298492705943,11315.25243965035
swap_test_n25,0.22333568626063832,0.6563549768288436,1,0.5105145071914676,0.6915747423998251,22626.018954994735,0.2421465729188765,0.6563549768288436,1,0.5105145071914673,0.7498239828718628,17837.29176132057,0.3442626732915083,0.6563549768288436,1,0.6810005752658342,0.7991559662417703,13880.452011261057,0.3423760980691889,0.6563549768288436,1,0.6810005752658346,0.794776554932767,14207.179496635727
wstate_n27,0.42616276593502644,0.7705488893118834,1,0.6595429797320629,0.8653952963082194,8444.859980918183,0.4301147793453438,0.7705488893118834,1,0.6595429797320624,0.8734205253747056,7934.691902758387,0.5219337972284739,0.7705488893118834,1,0.8056482291095443,0.8676650277360549,8189.001000221132,0.5219337972284739,0.7705488893118834,1,0.8056482291095443,0.8676650277360549,8189.001000221132
