filename,1AOD,1AOD,1AOD,1AOD,1AOD,1AOD,2AOD,2AOD,2AOD,2AOD,2AOD,2AOD,3AOD,3AOD,3AOD,3AOD,3AOD,3AOD,4AOD,4AOD,4AOD,4AOD,4AOD,4AOD
x,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_duration,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_duration,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_duration,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_duration
bv_n14,0.8571652757801561,0.9369146928798039,1,0.9455126435024226,0.9757662663445136,2790.817261521812,0.8580501240125697,0.9369146928798039,1,0.9455126435024226,0.9767735458977339,2680.4606474925654,0.8601214474591039,0.9369146928798039,1,0.9455126435024226,0.9791314663629288,2422.541721679449,0.8621666746982375,0.9369146928798039,1,0.9455126435024226,0.9814596798397746,2168.437541591682
bv_n19,0.7977213843395767,0.9137248860125932,1,0.9267809647166124,0.9528189271130505,3975.391001440943,0.8019475048549229,0.9137248860125932,1,0.9267809647166124,0.9578667140902246,3559.2542098462527,0.80532460319341,0.9137248860125932,1,0.9267809647166124,0.9619004071549987,3228.2094813386675,0.809000330032461,0.9137248860125932,1,0.9267809647166124,0.9662907897771779,2869.3827105138735
bv_n30,0.7728984342939629,0.9137248860125932,1,0.9267809647166124,0.9231697574974915,4096.082772306836,0.7795612547161048,0.9137248860125932,1,0.9267809647166124,0.9311280014794151,3667.982708358437,0.7850483713742494,0.9137248860125932,1,0.9267809647166124,0.9376819546638165,3318.07160342921,0.7916369441486986,0.9137248860125932,1,0.9267809647166124,0.9455515153467786,2901.0314557276397
bv_n70,0.45169115418047656,0.8348931673187264,1,0.8520755747117411,0.6556551954439869,9132.355654620213,0.4358040918421036,0.8348931673187264,1,0.8520755747117411,0.6325942280858907,9894.815864544411,0.45229887699706744,0.8348931673187264,1,0.8520755747117411,0.6565373394009802,9103.717143882608,0.47264835632299335,0.8348931673187264,1,0.8520755747117411,0.6860757567933481,8166.035120724897
cat_n22,0.7620962330351111,0.9000874278732445,1,0.9157205572498957,0.9366242433360368,4619.7624010741665,0.772609349369999,0.9000874278732445,1,0.9157205572498957,0.9495449732982519,3688.1086859486413,0.7749141964445305,0.9000874278732445,1,0.9157205572498957,0.9523776544658138,3485.475242083074,0.7822886775440416,0.9000874278732445,1,0.9157205572498957,0.9614409688878223,2840.982007384908
cat_n35,0.5948632840228434,0.8433051360508336,1,0.8692973418545477,0.8284290352609308,8208.30887081485,0.6193589887850027,0.8433051360508336,1,0.8692973418545477,0.8625426771836906,6487.158933995693,0.6266789458901632,0.8433051360508336,1,0.8692973418545477,0.8727367254056121,5985.655934187289,0.6450861058659956,0.8433051360508336,1,0.8692973418545477,0.8983712303250432,4749.270127549858
ghz_n23,0.7509457285568552,0.8955869907338783,1,0.9120631656822731,0.9318364903871359,4759.580876789557,0.7611831774180012,0.8955869907338783,1,0.9120631656822731,0.9445399762110996,3878.9421616640325,0.7635599020227632,0.8955869907338783,1,0.9120631656822731,0.9474892155903213,3676.1141099372526,0.7715614838289783,0.8955869907338783,1,0.9120631656822731,0.9574182499057279,2997.6757496250416
ghz_n40,0.5308785892598371,0.8224322824348486,1,0.8520755747117412,0.7757312166134218,9656.330665710744,0.5590293800722699,0.8224322824348486,1,0.8520755747117412,0.8168657578199238,7729.77331240578,0.5700942136363552,0.8224322824348486,1,0.8520755747117412,0.8330339306864543,6998.316412988625,0.5930439360416665,0.8224322824348486,1,0.8520755747117412,0.8665685588341699,5524.3261822116965
ghz_n78,0.1832812901313134,0.6797938283326578,1,0.7173681503955105,0.39372822412698577,17986.10712235585,0.21191362407001574,0.6797938283326578,1,0.7173681503955105,0.45523672827500444,15225.223710879181,0.23022813520820398,0.6797938283326578,1,0.7173681503955105,0.49458029651934854,13646.310588956803,0.2607886856208406,0.6797938283326578,1,0.7173681503955105,0.5602310306105905,11269.03148867856
