filename,Atomique,Atomique,Atomique,Atomique,Atomique,Atomique,Enola,Enola,Enola,Enola,Enola,Enola,NALAC,NALAC,NALAC,NALAC,NALAC,NALAC,ZAC,ZAC,ZAC,ZAC,ZAC,ZAC
x,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_duration,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_duration,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_duration,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_duration
QV_n32,6.803059591086094e-63,0.00015118430533209016,1.9255649239682844e-53,1,6.42357790058876e-06,301170.38358921814,5.676959587987456e-13,0.0005764267803995562,0.7863915141683762,0.0026772584490630203,1.1534762984580568e-06,0,0,0,0,0,0,0,2.3199615742970055e-05,0.0005764267803995562,1.0,0.34766067307894205,0.28546128323819325,-1
bv_n14,0.586226886516586,0.9369146928798039,0.6550596316118702,1,0.9632376900448189,3838.5255690809468,0.5627948187088091,0.9369146928798039,0.6767263388387882,0.9512056281970315,0.9407643739276239,5315.807929420784,0.5764938637678152,0.9369146928798039,0.6767263388387883,0.947406509114141,0.9678182696717993,2980.516188393861,0.845708504051609,0.9369146928798039,1,0.9455126435024226,0.9627242875222253,4229.317261521813
bv_n19,0.37499601054185155,0.9137248860125932,0.4444071240318654,1,0.9340752862045136,5205.604938756165,0.34784389138362637,0.9137248860125932,0.4648884257804501,0.9323611649219127,0.888090879382583,7615.592725205078,0.36905860320629874,0.9137248860125932,0.46488842578045,0.9286373107007021,0.9463171648916214,3606.14670442002,0.7781752249905537,0.9137248860125932,1,0.9267809647166124,0.9294724919469237,5927.641001440941
bv_n30,0.21784687913900364,0.9137248860125932,0.27072980801307034,1,0.8907411453345981,5652.1801228577915,0.19755403920076087,0.9137248860125932,0.28320687822730584,0.9323611649219127,0.8279495599218492,7628.345952419561,0.3571650529983922,0.9137248860125932,0.46488842578045,0.9286373107007021,0.9158204616161504,3606.14670442002,0.74320573068831,0.9137248860125932,1,0.9267809647166124,0.8877040290514044,6048.332772306836
bv_n70,0.0009665042761153315,0.8348931673187264,0.0019936752948391118,1,0.5936920449662275,11029.591518175808,0.0005500535389811259,0.8348931673187264,0.002181674071985352,0.8675596164681794,0.35933332371495325,16430.283031276074,0.09062808165551255,0.8348931673187264,0.21183645615829058,0.8623672548254323,0.6135950747954747,8787.054062987203,0.34962406079451086,0.8348931673187264,1,0.8520755747117411,0.5074990506025134,14578.10565462022
cat_n22,0.11130393611049304,0.8866535105013078,0.14625494119166488,1,0.8707647027347122,6166.665244450656,0.24598116459379274,0.9000874278732445,0.3494779911746322,0.9212341621210596,0.8598655148640842,8225.997949528268,0.49328905453748856,0.9000874278732445,1.0,0.8815592697443151,0.6297504787527015,30009.930999029184,0.7489586792523379,0.9000874278732445,1,0.9157205572498957,0.9204780522939017,5801.387401074166
cat_n35,0.0005719908290735891,0.7822236754458713,0.0011756478309528679,1,0.6397787396039366,11793.940623008406,0.029310341305313726,0.8433051360508336,0.06029463779079268,0.8745314299402548,0.6729352246682878,13510.668676004047,0.20245473836908467,0.8433051360508335,1.0,0.8153791427799212,0.3005902203456926,48730.61343373297,0.5695901026084152,0.8433051360508336,1,0.8692973418545477,0.7932326500418942,10057.808870814853
dnn_n51,2.9102904803411905e-35,0.13876943300397526,3.2774497301114946e-32,1,0.007774568734390513,83707.53198806048,0,0,0,0,0,0,0,0,0,0,0,0,0.037943601443211496,0.25707206259720855,1.0,0.6051667933504086,0.2787376217051992,-1
gcm_n13,1.0398718257004463e-103,0.009309671049309817,3.098605160066645e-95,1,5.571292844898588e-07,203831.09728487866,0,0,0,0,0,0,0,0,0,0,0,0,0.013311754811201193,0.07089027053687671,1.0,0.457311152519529,0.5190477905980552,-1
