dataset,circuit,strict_paired,baseline_method,count_delta_semantics,log_component_delta_semantics,Bstar_transfers,M4_transfers,M4_minus_Bstar_transfers,Bstar_idle_exposures,M4_idle_exposures,M4_minus_Bstar_idle_exposures,Bstar_move_batches,M4_move_batches,M4_minus_Bstar_move_batches,Bstar_move_time_us,M4_move_time_us,M4_minus_Bstar_move_time_us,Bstar_log_atom_transfer,M4_log_atom_transfer,M4_minus_Bstar_log_atom_transfer,Bstar_log_idle_excitation,M4_log_idle_excitation,M4_minus_Bstar_log_idle_excitation,Bstar_log_coherence_linear,M4_log_coherence_linear,M4_minus_Bstar_log_coherence_linear
zac18,bv_n14_transpiled,True,M1,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,56.0,52.0,-4.0,0.0,0.0,0.0,26.0,25.0,-1.0,2768.637261521812,2665.112822177856,-103.52443934395615,-0.05602801868067792,-0.05202601734634379,0.004002001334334135,-0.0,-0.0,0.0,-0.03844011310282679,-0.037511368846603374,0.0009287442562234127
zac18,bv_n19_transpiled,True,M2,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,76.0,72.0,-4.0,0.0,0.0,0.0,36.0,35.0,-1.0,3812.3435303917854,3747.0370947516567,-65.30643564012871,-0.07603802535234862,-0.07203602401801447,0.004002001334334149,-0.0,-0.0,0.0,-0.07207566064810482,-0.07128546995442145,0.0007901906936833708
zac18,bv_n30_transpiled,True,M1,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,76.0,72.0,-4.0,0.0,0.0,0.0,37.0,35.0,-2.0,4065.852772306838,3853.9080872106674,-211.94468509617036,-0.07603802535234862,-0.07203602401801447,0.004002001334334149,-0.0,-0.0,0.0,-0.12012624428106154,-0.11591079782957751,0.004215446451484028
zac18,bv_n70_transpiled,True,M2,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,168.0,154.0,-14.0,0.0,6.0,6.0,76.0,75.0,-1.0,8452.663978587909,9333.590220801212,880.9262422133033,-0.16808405604203377,-0.15407705137186428,0.014007004670169493,-0.0,-0.01501878130871086,-0.01501878130871086,-0.5751214678052031,-0.6020366947770479,-0.026915226971844786
zac18,cat_n22_transpiled,True,M1,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,88.0,84.0,-4.0,0.0,0.0,0.0,43.0,41.0,-2.0,4597.827401074167,4385.610496188305,-212.21690488586228,-0.08804402935535102,-0.08404202802101689,0.004002001334334135,-0.0,-0.0,0.0,-0.08286212183725532,-0.07977822936967463,0.0030838924675806872
zac18,cat_n35_transpiled,True,M1,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,140.0,136.0,-4.0,0.0,0.0,0.0,69.0,67.0,-2.0,8173.5688708148555,8176.08791803975,2.519047224894166,-0.14007004670169482,-0.13606804536736067,0.004002001334334149,-0.0,-0.0,0.0,-0.23163872075059816,-0.2317381549107165,-9.94341601183446e-05
zac18,ghz_n23,True,M1,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,92.0,88.0,-4.0,0.0,0.0,0.0,44.0,43.0,-1.0,4736.660876789556,4637.275591391364,-99.38528539819163,-0.09204603068968516,-0.08804402935535102,0.004002001334334135,-0.0,-0.0,0.0,-0.08956986234580003,-0.08808021307807926,0.0014896492677207718
zac18,ghz_n40_transpiled,True,M1,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,160.0,156.0,-4.0,0.0,1.0,1.0,78.0,77.0,-1.0,9616.665665710747,9951.673640154344,335.00797444359705,-0.1600800533733655,-0.15607805203903136,0.004002001334334149,-0.0,-0.002503130218118477,-0.002503130218118477,-0.310516911687725,-0.3195614125205528,-0.009044500832827818
zac18,ghz_n78_transpiled,True,M1,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,332.0,316.0,-16.0,0.0,0.0,0.0,154.0,153.0,-1.0,17905.88712235583,18382.315326242075,476.42820388624386,-0.3321661107497334,-0.31615810541239686,0.01600800533733654,-0.0,-0.0,0.0,-1.159529375631278,-1.1766054532309487,-0.01707607759967078
zac18,ising_n42,True,M2,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,252.0,140.0,-112.0,0.0,0.0,0.0,9.0,26.0,17.0,1588.335052109081,2909.3396442350077,1321.0045921259266,-0.25212608406305065,-0.14007004670169482,0.11205603736135583,-0.0,-0.0,0.0,-0.2473533243625765,-0.28105687935425233,-0.03370355499167582
