source,circuit,qubits,config,placement_time,routing_time,total_time,steps,rearr_ms,two_qubit_gate_layer,max_gates_in_layer,status
qasmbench,seca,11,agnostic,2727,31,3014,112,12150.66,37,3,ok
qasmbench,seca,11,astar,,,,,,,,"error: expected store, got: '@+ load ['"
qasmbench,seca,11,ids,,,,,,,,"error: expected store, got: '@+ load ['"
