qmap examples 套件（118 个配对案例，同架构同判分）

circuit              q   ZAC us     zzx us   ratio   ZAC fid  zzx fid   mv(Z→z)  pulse  1qS
sym9_146             12    23306.8    14867.2    0.64    0.2024   0.2765   227→126    91  300
ham7_104              7    25988.9    15495.9    0.60    0.2151   0.3007   266→149   134  300
ising_model_16       16     7957.2     6735.5    0.85    0.2878   0.3101    66→42     20  174
mod8-10_178           6    26785.1    15921.5    0.59    0.2087   0.2947   280→152   135  314
rd84_142             15    28184.3    14502.3    0.51    0.1730   0.2561   259→122    81  314
ex3_229               6    30484.3    17236.4    0.57    0.1666   0.2477   320→169   157  356
4gt4-v0_73            6    29950.0    18098.6    0.60    0.1618   0.2382   315→178   160  362
mod8-10_177           6    34512.5    19664.8    0.57    0.1372   0.2137   354→195   174  396
alu-v2_31             5    33192.4    19528.4    0.59    0.1324   0.2057   351→196   172  414
rd53_131              7    35224.8    20353.5    0.58    0.1244   0.1969   357→195   173  418
C17_204               7    35073.4    21441.9    0.61    0.1184   0.1873   364→203   173  424
cnt3-5_180           16    30913.6    20887.4    0.68    0.0989   0.1607   315→184   144  430
alu-v2_30             6    37798.5    22797.4    0.60    0.1023   0.1688   397→221   196  460
mod5adder_127         6    41580.4    25077.9    0.60    0.0858   0.1460   431→229   208  490
rd53_133              7    42705.6    24822.6    0.58    0.0726   0.1295   447→242   219  522
majority_239          7    47123.4    27337.6    0.58    0.0614   0.1150   479→262   232  554
ex2_227               7    47224.3    29187.9    0.62    0.0562   0.1069   489→279   241  576
cm82a_208             8    48847.7    26939.7    0.55    0.0510   0.1002   496→269   234  582
sf_274                6    58096.0    34312.2    0.59    0.0324   0.0688   613→337   300  678
sf_276                6    58461.2    34281.2    0.59    0.0322   0.0686   609→324   301  680
con1_216              9    69901.6    42253.0    0.60    0.0123   0.0323   716→411   346  852
wim_266              11    69367.9    43554.3    0.63    0.0100   0.0278   719→409   352  874
rd53_130              7    74959.6    46577.8    0.62    0.0092   0.0257   785→438   383  940
f2_232                8    89817.5    53037.8    0.59    0.0041   0.0136   924→510   449  1072
cm152a_212           12    92241.3    52001.9    0.56    0.0028   0.0112   952→522   461  1100
rd53_251              8    95367.2    58715.1    0.62    0.0027   0.0099   996→563   492  1156
hwb5_53               6   103943.7    59770.3    0.58    0.0021   0.0084   1091→588   535  1230
cm42a_207            14   127783.5    81066.1    0.63    0.0002   0.0013   1311→738   634  1564
pm1_249              14   127783.5    81066.1    0.63    0.0002   0.0013   1311→738   634  1564
dc1_220              11   138351.0    84625.5    0.61    0.0001   0.0010   1431→779   705  1672
squar5_261           13   146216.8    91737.0    0.63    0.0001   0.0006   1492→822   720  1750
sqrt8_260            12   227790.3   136735.9    0.60    0.0000   0.0000   2337→1287  1121  2716
z4_268               11   228611.8   135884.5    0.59    0.0000   0.0000   2331→1287  1112  2794
radd_250             13   246595.0   144123.6    0.58    0.0000   0.0000   2511→1372  1210  2914
adr4_197             13   258906.6   160173.4    0.62    0.0000   0.0000   2620→1459  1249  3088
sym6_145              7   291844.1   169774.0    0.58    0.0000   0.0000   3056→1662  1499  3536
misex1_241           15   364967.3   219109.0    0.60    0.0000   0.0000   3723→2031  1797  4238
rd73_252             10   394550.0   233951.3    0.59    0.0000   0.0000   4053→2244  1963  4774
cycle10_2_110        12   463062.9   273212.1    0.59    0.0000   0.0000   4737→2584  2271  5452
hwb6_56               7   498198.0   296178.8    0.59    0.0000   0.0000   5225→2867  2559  6100
square_root_7        15   537525.8   321290.0    0.60    0.0000   0.0000   5427→2991  2520  6562
----------------------------------------------------------------------------------------------------
ZAC_zzx: n 118  geomean zzx/ZAC time ratio 0.606   mean fidelity ZAC 0.4252  zzx 0.4731
worst ratios: ising_model_13 0.75x, ising_model_16 0.85x, ex1_226 0.98x, xor5_254 0.98x, graycode6_47 0.98x
