dataset,canonical_sha256,circuits,baseline_method,baseline_transfers,default_transfers,delta_transfers,baseline_idle_exposures,default_idle_exposures,delta_idle_exposures,baseline_log_atom_transfer,default_log_atom_transfer,delta_log_atom_transfer,baseline_log_idle_excitation,default_log_idle_excitation,delta_log_idle_excitation,baseline_log_coherence_linear,default_log_coherence_linear,delta_log_coherence_linear
qmap154,1339e2c7e5bc81127fa6ab1721b679c0a6f525f4446d354f7ed78b8331f01fac,"[""ground_state_estimation_10""]",M2,8.0,4.0,-4.0,0.0,0.0,0.0,-0.008004002668668275,-0.0040020013343341375,0.0040020013343341375,0.0,0.0,0.0,-0.007407759788228736,-0.006322978465524478,0.0010847813227042574
qmap154,13f4bceb146bbcba79157a59457fb4180968dfbf0e27e986fd3a79153e3c761d,"[""alu-bdd_288""]",M1,164.0,110.0,-54.0,0.0,26.0,26.0,-0.16408205470769963,-0.11005503669418878,0.05402701801351084,0.0,-0.0650813856710804,-0.0650813856710804,-0.046429604922416046,-0.03512471084186211,0.011304894080553934
qmap154,13f4bceb146bbcba79157a59457fb4180968dfbf0e27e986fd3a79153e3c761d,"[""alu-bdd_288""]",M2,164.0,110.0,-54.0,0.0,26.0,26.0,-0.16408205470769963,-0.11005503669418878,0.05402701801351084,0.0,-0.0650813856710804,-0.0650813856710804,-0.04668902834512263,-0.03512471084186211,0.011564317503260521
qmap154,157102116dddf0ba09f368852ccbf37928a0e99f99e9d7d4859f84655c619419,"[""4gt10-v1_81""]",M1,272.0,192.0,-80.0,0.0,43.0,43.0,-0.27213609073472134,-0.19209606404803858,0.08004002668668275,0.0,-0.1076345993790945,-0.1076345993790945,-0.05274714001428218,-0.04180867570067607,0.010938464313606108
qmap154,157102116dddf0ba09f368852ccbf37928a0e99f99e9d7d4859f84655c619419,"[""4gt10-v1_81""]",M2,272.0,192.0,-80.0,0.0,43.0,43.0,-0.27213609073472134,-0.19209606404803858,0.08004002668668275,0.0,-0.1076345993790945,-0.1076345993790945,-0.052693929836644754,-0.04180867570067607,0.010885254135968685
qmap154,17585b5581ef461ec1956dcfd5c0d021a2e1cd4acd8ebef58f665e2e9b95f2b1,"[""4gt4-v0_78""]",M1,428.0,302.0,-126.0,0.0,66.0,66.0,-0.4282141427737527,-0.3021511007422274,0.1260630420315253,0.0,-0.16520659439581947,-0.16520659439581947,-0.10249015204708906,-0.07899362343589628,0.02349652861119278
qmap154,17585b5581ef461ec1956dcfd5c0d021a2e1cd4acd8ebef58f665e2e9b95f2b1,"[""4gt4-v0_78""]",M2,428.0,302.0,-126.0,0.0,66.0,66.0,-0.4282141427737527,-0.3021511007422274,0.1260630420315253,0.0,-0.16520659439581947,-0.16520659439581947,-0.10334808151248104,-0.07899362343589628,0.024354458076584762
qmap154,181b076ba081017381177d84383cc4f660e01506983ee907420658ef1adbd956,"[""rd73_252""]",M1,9548.0,6748.0,-2800.0,0.0,1520.0,1520.0,-9.552777185055586,-6.75137625102169,2.8014009340338957,0.0,-3.804757931540085,-3.804757931540085,-4.8720768013918505,-3.5513645047595763,1.3207122966322742
qmap154,181b076ba081017381177d84383cc4f660e01506983ee907420658ef1adbd956,"[""rd73_252""]",M2,9560.0,6748.0,-2812.0,0.0,1520.0,1520.0,-9.564783189058588,-6.75137625102169,2.8134069380368976,0.0,-3.804757931540085,-3.804757931540085,-4.865919760358899,-3.5513645047595763,1.314555255599323
qmap154,18bd03509e493866a3863af424f8d69b46a78f338a1c47d89749a2fca6939020,"[""ex3_229""]",M1,712.0,482.0,-230.0,0.0,121.0,121.0,-0.7123562375114765,-0.4822411607872636,0.23011507672421289,0.0,-0.3028787563923357,-0.3028787563923357,-0.17243881555014298,-0.13133179343401316,0.04110702211612982
