dataset,canonical_sha256,circuits,member_N,qubits,gates_2q,M1,M2,Default
zac18,48d487f623d47c5260515f2e6365544ad923bb136bcca45db7434ff32b49c46e,"[""qft_n29_transpiled""]",1,29,680,"{""fidelity"": 0.00129813657994704, ""idle_exposures"": 0.0, ""log_atom_transfer"": -1.4727364910349625, ""log_coherence_linear"": -1.5528286004284946, ""log_fidelity"": -6.6468254428559845, ""log_idle_excitation"": 0.0, ""move_batches"": 381.0, ""move_time_us"": 46359.83813261894, ""transfers"": 1472.0}","{""fidelity"": 0.0013590169790240652, ""idle_exposures"": 0.0, ""log_atom_transfer"": -1.484742495037965, ""log_coherence_linear"": -1.4949908036975759, ""log_fidelity"": -6.600993650128068, ""log_idle_excitation"": 0.0, ""move_batches"": 284.0, ""move_time_us"": 40515.88185677209, ""transfers"": 1484.0}","{""fidelity"": 0.0036573958268649965, ""idle_exposures"": 17.0, ""log_atom_transfer"": -0.8484242828788371, ""log_coherence_linear"": -1.096262929338271, ""log_fidelity"": -5.611003907535768, ""log_idle_excitation"": -0.042553213708014105, ""move_batches"": 219.0, ""move_time_us"": 35607.41179912787, ""transfers"": 848.0}"
zac18,58a8fb4a501fe149a264a128891f77ec760f078cd053bfd81168637de4c8f191,"[""bv_n30_transpiled""]",1,30,18,"{""fidelity"": 0.7422332160838934, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.07603802535234862, ""log_coherence_linear"": -0.12012624428106154, ""log_fidelity"": -0.298091777808285, ""log_idle_excitation"": 0.0, ""move_batches"": 37.0, ""move_time_us"": 4065.852772306838, ""transfers"": 76.0}","{""fidelity"": 0.7413474845235002, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.07603802535234862, ""log_coherence_linear"": -0.12132029009908311, ""log_fidelity"": -0.29928582362630657, ""log_idle_excitation"": 0.0, ""move_batches"": 36.0, ""move_time_us"": 4125.315297348518, ""transfers"": 76.0}","{""fidelity"": 0.7483576077531813, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.07203602401801447, ""log_coherence_linear"": -0.11591079782957751, ""log_fidelity"": -0.2898743300224668, ""log_idle_excitation"": 0.0, ""move_batches"": 35.0, ""move_time_us"": 3853.9080872106674, ""transfers"": 72.0}"
zac18,7a6c0868d5e5299bb9152d872b95e55e6b2103d870f99ac53dcbcd1ab6718f7b,"[""cat_n35_transpiled""]",1,35,34,"{""fidelity"": 0.5695901026084134, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.14007004670169482, ""log_coherence_linear"": -0.23163872075059816, ""log_fidelity"": -0.5628382950739362, ""log_idle_excitation"": 0.0, ""move_batches"": 69.0, ""move_time_us"": 8173.5688708148555, ""transfers"": 140.0}","{""fidelity"": 0.5536180242396278, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.14407204803602894, ""log_coherence_linear"": -0.256078741314691, ""log_fidelity"": -0.5912803169723632, ""log_idle_excitation"": 0.0, ""move_batches"": 69.0, ""move_time_us"": 7499.4401077433085, ""transfers"": 144.0}","{""fidelity"": 0.5718173093308323, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.13606804536736067, ""log_coherence_linear"": -0.2317381549107165, ""log_fidelity"": -0.5589357278997203, ""log_idle_excitation"": 0.0, ""move_batches"": 67.0, ""move_time_us"": 8176.08791803975, ""transfers"": 136.0}"
zac18,8a6d2f76bca6bb915cf3ac1f9aac19a83963cb57ca850c44065a081f61c03370,"[""multiply_n13_transpiled""]",1,13,40,"{""fidelity"": 0.6368179773441586, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.15607805203903136, ""log_coherence_linear"": -0.07878930363851769, ""log_fidelity"": -0.4512714140964261, ""log_idle_excitation"": 0.0, ""move_batches"": 67.0, ""move_time_us"": 7328.826981694516, ""transfers"": 156.0}","{""fidelity"": 0.6303930207395078, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.16808405604203377, ""log_coherence_linear"": -0.0769236972007909, ""log_fidelity"": -0.46141181166170175, ""log_idle_excitation"": 0.0, ""move_batches"": 54.0, ""move_time_us"": 6493.361689891683, ""transfers"": 168.0}","{""fidelity"": 0.6495537835205756, ""idle_exposures"": 19.0, ""log_atom_transfer"": -0.11005503669418878, ""log_coherence_linear"": -0.058229069746620524, ""log_fidelity"": -0.4314696387238969, ""log_idle_excitation"": -0.04755947414425106, ""move_batches"": 45.0, ""move_time_us"": 5144.6560064215555, ""transfers"": 110.0}"
zac18,a9f1ef0f566a3cc1a347e8cb7bf74983b239326618f114a908e46c6e37c67752,"[""bv_n14_transpiled""]",1,14,13,"{""fidelity"": 0.8450728175261345, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.05602801868067792, ""log_coherence_linear"": -0.03844011310282679, ""log_fidelity"": -0.1683324807506382, ""log_idle_excitation"": 0.0, ""move_batches"": 26.0, ""move_time_us"": 2768.637261521812, ""transfers"": 56.0}","{""fidelity"": 0.8449694367086806, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.05602801868067792, ""log_coherence_linear"": -0.03856245420681251, ""log_fidelity"": -0.16845482185462393, ""log_idle_excitation"": 0.0, ""move_batches"": 26.0, ""move_time_us"": 2781.709238336421, ""transfers"": 56.0}","{""fidelity"": 0.8492499463115744, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.05202601734634379, ""log_coherence_linear"": -0.037511368846603374, ""log_fidelity"": -0.16340173516008066, ""log_idle_excitation"": 0.0, ""move_batches"": 25.0, ""move_time_us"": 2665.112822177856, ""transfers"": 52.0}"
zac18,b0b7114a0df2cf06b93931990669c2490dfc66245eaaed7ea956f3a4fb02967a,"[""bv_n70_transpiled""]",1,70,36,"{""fidelity"": 0.38134576195499925, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.1600800533733655, ""log_coherence_linear"": -0.6010138690061858, ""log_fidelity"": -0.9640488037022951, ""log_idle_excitation"": 0.0, ""move_batches"": 73.0, ""move_time_us"": 9053.145654620213, ""transfers"": 160.0}","{""fidelity"": 0.38822880670334686, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.16808405604203377, ""log_coherence_linear"": -0.5751214678052031, ""log_fidelity"": -0.9461604051699807, ""log_idle_excitation"": 0.0, ""move_batches"": 76.0, ""move_time_us"": 8452.663978587909, ""transfers"": 168.0}","{""fidelity"": 0.3775367331081053, ""idle_exposures"": 6.0, ""log_atom_transfer"": -0.15407705137186428, ""log_coherence_linear"": -0.6020366947770479, ""log_fidelity"": -0.9740874087803668, ""log_idle_excitation"": -0.01501878130871086, ""move_batches"": 75.0, ""move_time_us"": 9333.590220801212, ""transfers"": 154.0}"
zac18,b1c5bd70a94288185fa82fe0b7255b6824cc2bbcf26a896a1d770cd7041d56c3,"[""swap_test_n25_transpiled""]",1,25,84,"{""fidelity"": 0.3109694926742771, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.38419212809607717, ""log_coherence_linear"": -0.3262093335373515, ""log_fidelity"": -1.1680604659093918, ""log_idle_excitation"": 0.0, ""move_batches"": 133.0, ""move_time_us"": 14114.859496635707, ""transfers"": 384.0}","{""fidelity"": 0.31916434193060306, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.3801901267617431, ""log_coherence_linear"": -0.30419999935261177, ""log_fidelity"": -1.142049130390318, ""log_idle_excitation"": 0.0, ""move_batches"": 121.0, ""move_time_us"": 12259.246676641184, ""transfers"": 380.0}","{""fidelity"": 0.31509021375457047, ""idle_exposures"": 58.0, ""log_atom_transfer"": -0.2821410940705567, ""log_coherence_linear"": -0.26991463729007037, ""log_fidelity"": -1.1548962882874618, ""log_idle_excitation"": -0.14518155265087165, ""move_batches"": 107.0, ""move_time_us"": 11727.545413869935, ""transfers"": 282.0}"
zac18,d2cb39ae9b321e8f9cffdc461f673280c0304eb8cfe4803fa00b765f7c2e324d,"[""wstate_n27_transpiled""]",1,27,52,"{""fidelity"": 0.475441363307556, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.21610807205404342, ""log_coherence_linear"": -0.23524674763929512, ""log_fidelity"": -0.7435117204628506, ""log_idle_excitation"": 0.0, ""move_batches"": 72.0, ""move_time_us"": 7918.0221751245645, ""transfers"": 216.0}","{""fidelity"": 0.42156847197278763, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.30815410274372856, ""log_coherence_linear"": -0.26346206288627233, ""log_fidelity"": -0.863773066399513, ""log_idle_excitation"": 0.0, ""move_batches"": 85.0, ""move_time_us"": 9470.240679040502, ""transfers"": 308.0}","{""fidelity"": 0.4976139580186141, ""idle_exposures"": 3.0, ""log_atom_transfer"": -0.15807905270619843, ""log_coherence_linear"": -0.2401853431400198, ""log_fidelity"": -0.6979306872700858, ""log_idle_excitation"": -0.00750939065435543, ""move_batches"": 66.0, ""move_time_us"": 8262.121160973533, ""transfers"": 158.0}"
zac18,db18092cb4f75992883d38c951468535ffe87a4953127995ec4c404b63a4671a,"[""cat_n22_transpiled""]",1,22,21,"{""fidelity"": 0.748958679252337, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.08804402935535102, ""log_coherence_linear"": -0.08286212183725532, ""log_fidelity"": -0.28907146487412205, ""log_idle_excitation"": 0.0, ""move_batches"": 43.0, ""move_time_us"": 4597.827401074167, ""transfers"": 88.0}","{""fidelity"": 0.7387287737394874, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.08804402935535102, ""log_coherence_linear"": -0.09661510030849814, ""log_fidelity"": -0.30282444334536485, ""log_idle_excitation"": 0.0, ""move_batches"": 42.0, ""move_time_us"": 4491.71336731659, ""transfers"": 88.0}","{""fidelity"": 0.754284567972137, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.08404202802101689, ""log_coherence_linear"": -0.07977822936967463, ""log_fidelity"": -0.28198557107220723, ""log_idle_excitation"": 0.0, ""move_batches"": 41.0, ""move_time_us"": 4385.610496188305, ""transfers"": 84.0}"
zac18,ff087c43a47c1c89a5515728dba98c1a8254212cb63163c9c21d361c76c1a6ad,"[""bv_n19_transpiled""]",1,19,18,"{""fidelity"": 0.7774546085489721, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.07603802535234862, ""log_coherence_linear"": -0.0737644843932738, ""log_fidelity"": -0.25173001792049726, ""log_idle_excitation"": 0.0, ""move_batches"": 37.0, ""move_time_us"": 3945.1610014409425, ""transfers"": 76.0}","{""fidelity"": 0.7787687016761891, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.07603802535234862, ""log_coherence_linear"": -0.07207566064810482, ""log_fidelity"": -0.2500411941753283, ""log_idle_excitation"": 0.0, ""move_batches"": 36.0, ""move_time_us"": 3812.3435303917854, ""transfers"": 76.0}","{""fidelity"": 0.7825096673937727, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.07203602401801447, ""log_coherence_linear"": -0.07128546995442145, ""log_fidelity"": -0.24524900214731077, ""log_idle_excitation"": 0.0, ""move_batches"": 35.0, ""move_time_us"": 3747.0370947516567, ""transfers"": 72.0}"
