dataset,circuit,variant,fidelity,transfers,idle_exposures,log_coherence_linear,move_batches,move_time_us,algorithm_time_s,valid,N,fidelity_valid,fidelity_N,valid_over_N,status,ga_applicable_boundaries,ga_applicability_source
zac18,qft_n18_transpiled,paper_h8_ga,0.08938694922566473,402.0,7.0,-0.3630009036243715,143.0,20623.61469965825,97.451285125,3,3,3,3,3/3,success,61,artifact.compiler_stats.ga_applicable_boundaries
zac18,qft_n18_transpiled,paper_h8_greedy_only,0.08848761968857485,398.0,8.0,-0.37561607184603146,166.0,22901.09973693284,89.311800542,1,1,1,1,1/1,success,61,artifact.compiler_stats.ga_applicable_boundaries
zac18,qft_n29_transpiled,paper_h0_ga,0.0031752651544095767,872.0,17.0,-1.2181152816064325,247.0,41750.52398616779,57.600772167,3,3,3,3,3/3,success,105,artifact.compiler_stats.ga_applicable_boundaries
zac18,qft_n29_transpiled,paper_h8_ga,0.0036573958268649965,844.0,18.0,-1.096262929338271,219.0,35607.41179912787,187.392873458,3,3,3,3,3/3,success,105,artifact.compiler_stats.ga_applicable_boundaries
zac18,qft_n29_transpiled,paper_h8_greedy_only,0.0031763693147799305,848.0,21.0,-1.229766090514576,299.0,42683.52940042247,177.551759875,1,1,1,1,1/1,success,105,artifact.compiler_stats.ga_applicable_boundaries
zac18,seca_n11_transpiled,paper_h0_ga,0.42036252184758693,292.0,7.0,-0.13197110263832232,119.0,14819.866674762041,12.213762417,3,3,3,3,3/3,success,26,artifact.compiler_stats.ga_applicable_boundaries
zac18,seca_n11_transpiled,paper_h8_ga,0.4220991664837909,206.0,57.0,-0.08122543790487806,71.0,8128.616290234231,37.41882625,3,3,3,3,3/3,success,26,artifact.compiler_stats.ga_applicable_boundaries
zac18,seca_n11_transpiled,paper_h8_greedy_only,0.42444550635439365,216.0,49.0,-0.08570212826818509,77.0,8602.41458799012,33.134427375,1,1,1,1,1/1,success,26,artifact.compiler_stats.ga_applicable_boundaries
zac18,swap_test_n25_transpiled,paper_h0_ga,0.2842339646256087,358.0,30.0,-0.37703805149943037,123.0,18278.962061844475,14.185833417,3,3,3,3,3/3,success,31,artifact.compiler_stats.ga_applicable_boundaries
zac18,swap_test_n25_transpiled,paper_h8_ga,0.31509021375457047,282.0,58.0,-0.26991463729007037,107.0,11727.545413869935,13.919699125,3,3,3,3,3/3,success,31,artifact.compiler_stats.ga_applicable_boundaries
zac18,swap_test_n25_transpiled,paper_h8_greedy_only,0.3158541486593569,282.0,57.0,-0.26999620604064306,107.0,11728.714703030435,12.68569775,1,1,1,1,1/1,success,31,artifact.compiler_stats.ga_applicable_boundaries
zac18,wstate_n27_transpiled,paper_h0_ga,0.4831013532003409,176.0,10.0,-0.23347176747147233,69.0,8735.122077686561,4.645058292,3,3,3,3,3/3,success,26,artifact.compiler_stats.ga_applicable_boundaries
zac18,wstate_n27_transpiled,paper_h8_ga,0.4976139580186141,158.0,3.0,-0.2401853431400198,66.0,8262.121160973533,9.261884375,3,3,3,3,3/3,success,26,artifact.compiler_stats.ga_applicable_boundaries
zac18,wstate_n27_transpiled,paper_h8_greedy_only,0.49848212794932895,164.0,4.0,-0.22993606552955545,61.0,7857.345799549523,9.485467458,1,1,1,1,1/1,success,26,artifact.compiler_stats.ga_applicable_boundaries
