dataset,circuit,variant,fidelity,transfers,idle_exposures,log_coherence_linear,move_batches,move_time_us,algorithm_time_s,valid,N,fidelity_valid,fidelity_N,valid_over_N,status,ga_applicable_boundaries,ga_applicability_source
qmap154,con1_216,paper_h8_greedy_only,0.009212472787455787,1208.0,272.0,-0.48590154932532026,536.0,55112.21798123179,53.346768667,1,1,1,1,1/1,success,146,artifact.compiler_stats.ga_applicable_boundaries
qmap154,ground_state_estimation_10,paper_h0_ga,0.9711608306325407,4.0,0.0,-0.006322978465524478,1.0,109.09637512458573,0.967821417,3,3,3,3,3/3,success,0,artifact.compiler_stats.ga_applicable_boundaries
qmap154,ground_state_estimation_10,paper_h8_ga,0.9711608306325407,4.0,0.0,-0.006322978465524478,1.0,109.09637512458573,0.890482792,3,3,3,3,3/3,success,0,artifact.compiler_stats.ga_applicable_boundaries
qmap154,ground_state_estimation_10,paper_h8_greedy_only,0.9711608306325407,4.0,0.0,-0.006322978465524478,1.0,109.09637512458573,0.882865541,1,1,1,1,1/1,success,0,artifact.compiler_stats.ga_applicable_boundaries
qmap154,hwb5_53,paper_h0_ga,0.001647150390380706,2368.0,5.0,-0.6933541406318472,1118.0,126949.22681071822,9.525126458,3,3,3,3,3/3,success,534,artifact.compiler_stats.ga_applicable_boundaries
qmap154,hwb5_53,paper_h8_ga,0.0015205179086786572,1718.0,397.0,-0.45153645000929576,792.0,79995.61093928695,9.597866625,3,3,3,3,3/3,success,534,artifact.compiler_stats.ga_applicable_boundaries
qmap154,hwb5_53,paper_h8_greedy_only,0.001509978891632705,1726.0,397.0,-0.4514043996813363,795.0,80217.66715072357,7.597269166,1,1,1,1,1/1,success,534,artifact.compiler_stats.ga_applicable_boundaries
qmap154,hwb8_113,paper_h0_ga,,121930.0,887.0,,53759.0,5337525.76259311,97.090405084,3,3,0,3,3/3,success,3572,artifact.compiler_stats.ga_applicable_boundaries
qmap154,hwb8_113,paper_h8_ga,,91106.0,21789.0,,40750.0,4157208.613744546,92.89856125,3,3,0,3,3/3,success,3572,artifact.compiler_stats.ga_applicable_boundaries
qmap154,hwb8_113,paper_h8_greedy_only,,91160.0,21483.0,,40729.0,4166978.6635457105,84.692262916,1,1,0,1,1/1,success,3572,artifact.compiler_stats.ga_applicable_boundaries
qmap154,hwb9_119,paper_h0_ga,,368500.0,2926.0,,161888.0,15897261.74906644,272.080459292,3,3,0,3,3/3,success,7461,artifact.compiler_stats.ga_applicable_boundaries
qmap154,hwb9_119,paper_h8_ga,,295572.0,60806.0,,132721.0,13694768.034563798,258.557743125,3,3,0,3,3/3,success,7461,artifact.compiler_stats.ga_applicable_boundaries
qmap154,hwb9_119,paper_h8_greedy_only,,306592.0,60676.0,,135511.0,14277454.902292667,244.999498041,1,1,0,1,1/1,success,7461,artifact.compiler_stats.ga_applicable_boundaries
qmap154,majority_239,paper_h0_ga,0.05415269915152667,1064.0,3.0,-0.35613463399394596,492.0,56750.05730175155,15.126178083,3,3,3,3,3/3,success,88,artifact.compiler_stats.ga_applicable_boundaries
qmap154,majority_239,paper_h8_ga,0.05291785618858417,768.0,175.0,-0.2448113252435472,350.0,37102.80075269707,29.222286667,3,3,3,3,3/3,success,88,artifact.compiler_stats.ga_applicable_boundaries
qmap154,majority_239,paper_h8_greedy_only,0.053021509951956765,770.0,175.0,-0.24085347321460046,354.0,36481.46511027951,28.433758959,1,1,1,1,1/1,success,88,artifact.compiler_stats.ga_applicable_boundaries
qmap154,one-two-three-v0_98,paper_h0_ga,0.5097285351605295,252.0,0.0,-0.059630230293474994,120.0,13890.865193779842,5.597954416,3,3,3,3,3/3,success,18,artifact.compiler_stats.ga_applicable_boundaries
qmap154,one-two-three-v0_98,paper_h8_ga,0.5006764972844197,184.0,43.0,-0.03794777508541536,84.0,8282.482348399653,7.022354833,3,3,3,3,3/3,success,18,artifact.compiler_stats.ga_applicable_boundaries
qmap154,one-two-three-v0_98,paper_h8_greedy_only,0.5006764972844197,184.0,43.0,-0.03794777508541536,84.0,8282.482348399653,6.752475291,1,1,1,1,1/1,success,18,artifact.compiler_stats.ga_applicable_boundaries
qmap154,plus63mod8192_164,paper_h0_ga,,329460.0,5980.0,,147567.0,14562012.30026031,274.309720667,3,3,0,3,3/3,success,6848,artifact.compiler_stats.ga_applicable_boundaries
qmap154,plus63mod8192_164,paper_h8_ga,,261714.0,55406.0,,119945.0,12139964.43917138,262.660148,3,3,0,3,3/3,success,6848,artifact.compiler_stats.ga_applicable_boundaries
qmap154,plus63mod8192_164,paper_h8_greedy_only,,262318.0,55178.0,,120072.0,12165426.918931406,250.922751,1,1,0,1,1/1,success,6848,artifact.compiler_stats.ga_applicable_boundaries
qmap154,qe_qft_4,paper_h0_ga,0.8248184337389427,44.0,0.0,-0.010654546540749477,18.0,2084.536407872834,2.599694125,3,3,3,3,3/3,success,11,artifact.compiler_stats.ga_applicable_boundaries
qmap154,qe_qft_4,paper_h8_ga,0.8250988952714766,44.0,0.0,-0.010314576130955096,20.0,2072.564370403532,2.814030667,3,3,3,3,3/3,success,11,artifact.compiler_stats.ga_applicable_boundaries
qmap154,qe_qft_4,paper_h8_greedy_only,0.8250988952714766,44.0,0.0,-0.010314576130955096,20.0,2072.564370403532,2.745537583,1,1,1,1,1/1,success,11,artifact.compiler_stats.ga_applicable_boundaries
qmap154,rd32_270,paper_h0_ga,0.6918399656102026,138.0,0.0,-0.029176956375822266,68.0,6420.100688570332,3.669838,3,3,3,3,3/3,success,9,artifact.compiler_stats.ga_applicable_boundaries
qmap154,rd32_270,paper_h8_ga,0.6829152356103855,96.0,25.0,-0.02160363435514187,47.0,4722.044714349889,3.956798292,3,3,3,3,3/3,success,9,artifact.compiler_stats.ga_applicable_boundaries
qmap154,rd32_270,paper_h8_greedy_only,0.6829152356103855,96.0,25.0,-0.02160363435514187,47.0,4722.044714349889,3.886008417,1,1,1,1,1/1,success,9,artifact.compiler_stats.ga_applicable_boundaries
qmap154,rd53_130,paper_h0_ga,0.005782436544654155,1800.0,1.0,-0.8527699974550358,816.0,140871.33802003696,24.687963875,3,3,3,3,3/3,success,152,artifact.compiler_stats.ga_applicable_boundaries
qmap154,rd53_130,paper_h8_ga,0.007093632237355454,1308.0,294.0,-0.4060119372390183,588.0,59568.207947864714,53.854810708,3,3,3,3,3/3,success,152,artifact.compiler_stats.ga_applicable_boundaries
qmap154,rd53_130,paper_h8_greedy_only,0.007093451479980797,1302.0,294.0,-0.4132551193680803,590.0,60779.01350269991,52.0819565,1,1,1,1,1/1,success,152,artifact.compiler_stats.ga_applicable_boundaries
qmap154,rd53_251,paper_h0_ga,0.0012748567788943791,2230.0,11.0,-1.2647505027565342,1014.0,178255.34135432736,29.677754417,3,3,3,3,3/3,success,190,artifact.compiler_stats.ga_applicable_boundaries
qmap154,rd53_251,paper_h8_ga,0.0018880166365187693,1588.0,377.0,-0.5982330197078171,732.0,76301.71304054887,59.271098334,3,3,3,3,3/3,success,190,artifact.compiler_stats.ga_applicable_boundaries
qmap154,rd53_251,paper_h8_greedy_only,0.0018713451704685728,1598.0,377.0,-0.5970973810116644,735.0,76426.35164077078,56.616347417,1,1,1,1,1/1,success,190,artifact.compiler_stats.ga_applicable_boundaries
qmap154,rd73_252,paper_h0_ga,3.2421130835853537e-13,9126.0,248.0,-6.08974931346176,4198.0,515183.9641798694,45.856238875,3,3,3,3,3/3,success,1962,artifact.compiler_stats.ga_applicable_boundaries
qmap154,rd73_252,paper_h8_ga,1.8377351819540632e-12,6748.0,1520.0,-3.5513645047595763,3042.0,307275.6180801461,45.774232334,3,3,3,3,3/3,success,1962,artifact.compiler_stats.ga_applicable_boundaries
qmap154,rd73_252,paper_h8_greedy_only,1.6936617618870906e-12,6784.0,1521.0,-3.59219440555587,3053.0,311016.8723481247,34.014013458,1,1,1,1,1/1,success,1962,artifact.compiler_stats.ga_applicable_boundaries
qmap154,root_255,paper_h0_ga,,29666.0,682.0,,12810.0,1308990.8321100737,32.992674458,3,3,0,3,3/3,success,873,artifact.compiler_stats.ga_applicable_boundaries
qmap154,root_255,paper_h8_ga,,22610.0,4987.0,,9873.0,1017866.0674881164,33.053261834,3,3,0,3,3/3,success,873,artifact.compiler_stats.ga_applicable_boundaries
qmap154,root_255,paper_h8_greedy_only,,22700.0,4994.0,,9964.0,1030134.7698757619,29.748799666,1,1,0,1,1/1,success,873,artifact.compiler_stats.ga_applicable_boundaries
qmap154,sf_276,paper_h0_ga,0.02512248973579409,1318.0,0.0,-0.4892923534496234,610.0,94433.4164550156,16.553694167,3,3,3,3,3/3,success,102,artifact.compiler_stats.ga_applicable_boundaries
qmap154,sf_276,paper_h8_ga,0.02634154083539311,936.0,228.0,-0.2569412585226253,440.0,46118.438520084936,34.608775125,3,3,3,3,3/3,success,102,artifact.compiler_stats.ga_applicable_boundaries
qmap154,sf_276,paper_h8_greedy_only,0.0264019176823355,932.0,228.0,-0.2587963579995845,438.0,46469.05204671195,34.450716334,1,1,1,1,1/1,success,102,artifact.compiler_stats.ga_applicable_boundaries
qmap154,sqrt8_260,paper_h0_ga,5.89657626908289e-08,5188.0,156.0,-3.7181779120556993,2393.0,301262.3528963929,29.088614917,3,3,3,3,3/3,success,1120,artifact.compiler_stats.ga_applicable_boundaries
qmap154,sqrt8_260,paper_h8_ga,1.698027608819522e-07,3852.0,853.0,-2.2753705548665564,1738.0,176545.93349037095,28.264102459,3,3,3,3,3/3,success,1120,artifact.compiler_stats.ga_applicable_boundaries
qmap154,sqrt8_260,paper_h8_greedy_only,1.6104277059970193e-07,3890.0,852.0,-2.297492694737508,1751.0,179001.82979770214,19.525343292,1,1,1,1,1/1,success,1120,artifact.compiler_stats.ga_applicable_boundaries
qmap154,squar5_261,paper_h0_ga,1.7361898675157462e-05,3348.0,98.0,-2.5191759795928235,1559.0,197327.6676134381,18.660568083,3,3,3,3,3/3,success,719,artifact.compiler_stats.ga_applicable_boundaries
qmap154,squar5_261,paper_h8_ga,3.3708128802624e-05,2456.0,578.0,-1.5446578266937259,1109.0,112654.49537272406,18.656748,3,3,3,3,3/3,success,719,artifact.compiler_stats.ga_applicable_boundaries
qmap154,squar5_261,paper_h8_greedy_only,3.258040445659839e-05,2480.0,576.0,-1.5676840834675834,1121.0,116416.37818968107,13.884262125,1,1,1,1,1/1,success,719,artifact.compiler_stats.ga_applicable_boundaries
qmap154,sym9_193,paper_h0_ga,,61060.0,1247.0,,27082.0,2763821.3854714157,53.657590958,3,3,0,3,3/3,success,2126,artifact.compiler_stats.ga_applicable_boundaries
qmap154,sym9_193,paper_h8_ga,,46388.0,12482.0,,20602.0,2103165.450424444,55.305976708,3,3,0,3,3/3,success,2126,artifact.compiler_stats.ga_applicable_boundaries
qmap154,sym9_193,paper_h8_greedy_only,,46408.0,12389.0,,20612.0,2102886.236783042,49.9217765,1,1,0,1,1/1,success,2126,artifact.compiler_stats.ga_applicable_boundaries
