dataset,circuit,canonical_sha256,independent_analysis_unit,canonical_cluster_file_N,strict_paired,baseline_method,baseline_log_fidelity,baseline_fidelity,M4_log_fidelity,M4_fidelity,M4_minus_Bstar_delta_logF,M4_over_Bstar_ratio,M4_valid_over_N
qmap154,4_49_16,f84dd3828bcf2684305f19cf03ec4cb40c22d74e2b41f5714593f6bd3f483ae9,canonical_sha256_cluster_mean,1,True,M1,-1.019697399322453,0.3607040729572892,-1.033320052386165,0.35582364418098095,-0.01362265306371202,0.9864697153644669,3/3
qmap154,4gt10-v1_81,157102116dddf0ba09f368852ccbf37928a0e99f99e9d7d4859f84655c619419,canonical_sha256_cluster_mean,1,True,M2,-0.6928633620415361,0.5001419293993478,-0.7095903606414289,0.4918456355303221,-0.016726998599892795,0.9834121208773894,3/3
qmap154,4gt11_82,aacab69f698e7b9ecb3ad3698004174062167964aebd93c4efcbe624131bff1d,canonical_sha256_cluster_mean,1,True,M2,-0.15490465070448334,0.8564968399606243,-0.15203471938214563,0.8589584577164673,0.0028699313223377043,1.0028740535177645,3/3
qmap154,4gt11_83,8e33e885ddd96f3b57ede11f90be05bae3c461df4b9fb1670d222413068d2d44,canonical_sha256_cluster_mean,1,True,M1,-0.13471198464705628,0.8739675915268008,-0.13363295757629307,0.8749111351800528,0.001079027070763211,1.0010796094299146,3/3
qmap154,4gt11_84,012b9e9f7ae5656aefa02b50a70cdc55461c1dc41c9fed19de9b1e8eb288a0ae,canonical_sha256_cluster_mean,1,True,M1,-0.09777551096426074,0.9068524593392224,-0.09375396131137584,0.9105067545721256,0.004021549652884898,1.0040296469345917,3/3
qmap154,4gt12-v0_86,4ce6bfb1bf9aca450b753d6849ee005106931698bb33d26016c766f8a3c6cd05,canonical_sha256_cluster_mean,1,True,M1,-1.191131602099132,0.30387720135344487,-1.2078628094646042,0.2988352653390513,-0.016731207365472178,0.9834079819350146,3/3
qmap154,4gt12-v0_87,53778d274180d94de3f21dd545732c304f808e584fba613310d33d09a51d427d,canonical_sha256_cluster_mean,1,True,M1,-1.1755668030576623,0.3086439897431713,-1.1922113774799135,0.30354925931637433,-0.0166445744222512,0.9834931811533528,3/3
qmap154,4gt12-v0_88,337ec9b8fa347392e1e7680c23a11964ecce6b8d6a60f119881338597bff4df8,canonical_sha256_cluster_mean,1,True,M1,-0.9076244419071995,0.4034815803891876,-0.9228753365457945,0.3973748105337814,-0.01525089463859497,0.9848648113018796,3/3
qmap154,4gt12-v1_89,4f73524b715eb1770efc2d80fc94314f980ad04bd5d39f4bda32e9373bb5114a,canonical_sha256_cluster_mean,1,True,M1,-1.0795317472434995,0.3397545794216961,-1.079289750364866,0.33983680891865714,0.00024199687863357688,1.0002420261622404,3/3
qmap154,4gt13-v1_93,a18c9f80ee68afee3443e316232d2f6de495ee5d68f0f3ff3c3605e2760916ed,canonical_sha256_cluster_mean,1,True,M1,-0.31535269560997403,0.7295315263223074,-0.3208487781177351,0.7255329591545231,-0.005496082507761069,0.9945189933217256,3/3
qmap154,4gt13_90,519ea74d71d3bb4c0342bd16f13d8643d86a0d7adcc9401edc6280a5f0b3209c,canonical_sha256_cluster_mean,1,True,M1,-0.507262232397826,0.6021418486770534,-0.5150267861612942,0.5974845900852876,-0.007764553763468185,0.9922655125166966,3/3
qmap154,4gt13_91,679c25ee91f79d2be3c2d27eabe3178ef82d031ac02f532a255f82d5b2e14470,canonical_sha256_cluster_mean,1,True,M1,-0.48824290718419255,0.6137037818783082,-0.49550715182366045,0.6092618406774977,-0.007264244639467898,0.9927620762133557,3/3
qmap154,4gt13_92,f8c690ddce42ddef13013b6f7beb6a0d0cf6b59b925ef995cfb07da443154ebd,canonical_sha256_cluster_mean,1,True,M1,-0.32393434926017145,0.7232977258519813,-0.32061614684514006,0.725701760443589,0.0033182024150313905,1.0033237137428794,3/3
qmap154,4gt4-v0_72,bfa75e9edbb6ab94cd64844561c0745f471f23c85dfd068594d38324267ec989,canonical_sha256_cluster_mean,1,True,M1,-1.1959164521424395,0.30242666757416814,-1.2123611722612742,0.29749401487642096,-0.016444720118834688,0.9836897561405114,3/3
qmap154,4gt4-v0_73,620e145abef0b7fc3948370f538a464abbc77025fb86dcf2cd3ef23b08519a4a,canonical_sha256_cluster_mean,1,True,M1,-1.8895701116203982,0.15113676681281427,-1.926855666993057,0.14560531103544028,-0.03728555537265876,0.9634009917373394,3/3
qmap154,4gt4-v0_78,17585b5581ef461ec1956dcfd5c0d021a2e1cd4acd8ebef58f665e2e9b95f2b1,canonical_sha256_cluster_mean,1,True,M1,-1.124954956677465,0.3246670911134975,-1.1406868044178404,0.3195994441113112,-0.015731847740375393,0.9843912514052287,3/3
qmap154,4gt4-v0_79,a349d8041680093f4e0e734c78665ba74fb201322af6505319a01c6838b887c3,canonical_sha256_cluster_mean,1,True,M1,-1.0905217419842788,0.33604112119973767,-1.1039912788254134,0.3315451502354098,-0.01346953684113461,0.9866207714452436,3/3
qmap154,4gt4-v0_80,aacd9d461d97474d739216de7842190ad2c493eec99d4613f395da4a2c442559,canonical_sha256_cluster_mean,1,True,M2,-0.8431414559969747,0.43035645180808557,-0.854221921165048,0.4256142237001521,-0.011080465168073372,0.9889806970756227,3/3
qmap154,4gt4-v1_74,5260efec73d65ae2747a06787c59b701521473db0f533363151441c3756e6fd2,canonical_sha256_cluster_mean,1,True,M1,-1.2772678071149082,0.27879799069030436,-1.295718900023959,0.2737010299108275,-0.018451092909050892,0.9817180863934608,3/3
qmap154,4gt5_75,e039b9c3db8f1e80604503cd9a889b8734bb4401c1182c75a38b1832e598b5aa,canonical_sha256_cluster_mean,1,True,M1,-0.40506554924446025,0.6669330924653196,-0.41042138768954173,0.6633706550038613,-0.005355838445081473,0.9946584784865155,3/3
qmap154,4gt5_76,02ff18ecd3cbf5d461bcd36200261de37bb114a1b24a49eed03d37f500b7c215,canonical_sha256_cluster_mean,1,True,M1,-0.4676786360093316,0.6264548113306613,-0.47258005371391043,0.6233918072905074,-0.004901417704578803,0.9951105746420117,3/3
qmap154,4gt5_77,86f25b05a4edb7fc286f425c98d2846447278adb82c6989aeb115afe8cfdb2e0,canonical_sha256_cluster_mean,1,True,M1,-0.6093838162416683,0.5436857762266762,-0.6145115650308501,0.5409050277288421,-0.005127748789181874,0.9948853756720779,3/3
qmap154,4mod5-bdd_287,a8f4097d0168378803725415aada0c52d1bc452c2a07d485204863fef857bf84,canonical_sha256_cluster_mean,1,True,M1,-0.33402425996439006,0.7160364109986639,-0.3364825085279968,0.7142783772471228,-0.0024582485636067686,0.997544770455054,3/3
qmap154,4mod5-v0_18,c99d557b492a18a7a3de36a4531d517c18f9e2dac5eba9a2a992076e0c8093b0,canonical_sha256_cluster_mean,1,True,M1,-0.3145816810321812,0.7300942226597257,-0.32217930024842,0.7245682634126596,-0.0075976192162388045,0.9924311697373318,3/3
qmap154,4mod5-v0_19,7d1896dcc5d2410f21980ed3439eddb034338ed3bc420cbd08732a56ab8a5acb,canonical_sha256_cluster_mean,1,True,M1,-0.170547369897112,0.843203146236282,-0.17255500906463783,0.8415119967507206,-0.002007639167525832,0.9979943747919942,3/3
qmap154,4mod5-v0_20,96c783c9bca0ef85595484b3ce3d699b0387661d205d223d6e547c44bdd87c0a,canonical_sha256_cluster_mean,1,True,M2,-0.10749308743085022,0.8980827304883225,-0.10384146028837617,0.9013681887466415,0.003651627142474051,1.0036583024556462,3/3
qmap154,4mod5-v1_22,42887548d9adb27f8d8ed46b6b9c73698f1b1907034eac1e0d38c3d3351b8a3f,canonical_sha256_cluster_mean,1,True,M2,-0.11796679073972008,0.8887255660431952,-0.11424601309145868,0.8920384757429038,0.0037207776482613975,1.003727708334597,3/3
qmap154,4mod5-v1_23,25d68584c24511a5e0c74e934a911155b0d792d0f76ad82dd8241b4aac2f6ae0,canonical_sha256_cluster_mean,1,True,M1,-0.34302242896852375,0.7096222952855918,-0.33929556000112004,0.7122718988923818,0.003726868967403707,1.0037338223790218,3/3
qmap154,4mod5-v1_24,dfcfb0f66a9df92dbce2a4f1948cc61f5cb144f7acf0e867f59c81b20574a24e,canonical_sha256_cluster_mean,1,True,M1,-0.1744469263631836,0.8399214307312504,-0.1767963355011509,0.8379504278993637,-0.002349409137967301,0.9976533485636023,3/3
qmap154,4mod7-v0_94,128f4fc145f17a5c3292150a1026e96555931cd0f863e3eed45c36c456983d23,canonical_sha256_cluster_mean,1,True,M1,-0.7334460177646025,0.48025118120940175,-0.7500803187600423,0.47232861436881496,-0.016634300995439832,0.9835032850504696,3/3
qmap154,4mod7-v1_96,e681b288918d9cc524f0c1d7c1a8a165a6636b4125d31d13e102129be7eb25b0,canonical_sha256_cluster_mean,1,True,M2,-0.7388257465277657,0.4776744972610995,-0.7405012510858636,0.4768748215808535,-0.001675504558097951,0.9983258983160475,3/3
qmap154,9symml_195,26bde4287c6cb5d5b60c40f5aef845bacf25cce07cfdc5871e9fb2dea2c9746c,canonical_sha256_cluster_mean,2,False,,,,,,,,3/3
qmap154,C17_204,c6a370a3fd82cb35caac5770d763a98a341d78297bfc3c07d9c74ed215b9b620,canonical_sha256_cluster_mean,1,True,M1,-2.227538377237805,0.10779345062340649,-2.2519252501806615,0.1051964998962027,-0.024386872942856463,0.9759080842835558,3/3
qmap154,adr4_197,3a59691f2cef465889098b3e1fe8dfc1073bdb63f046979516e9ca7612614be8,canonical_sha256_cluster_mean,1,True,M2,-18.353536732217023,1.0694494803608008e-08,-18.02734216461339,1.4819200519097689e-08,0.32619456760363263,1.3856849520463677,3/3
qmap154,aj-e11_165,a35a0cb5a5e80b130e60fa4e26dfdd940ac110073cf1e447d5f32ea63e0902b2,canonical_sha256_cluster_mean,1,True,M1,-0.7218716567770166,0.485842074840411,-0.7265987196756171,0.48355088835157856,-0.004727062898600476,0.9952840920795404,3/3
qmap154,alu-bdd_288,13f4bceb146bbcba79157a59457fb4180968dfbf0e27e986fd3a79153e3c761d,canonical_sha256_cluster_mean,1,True,M1,-0.422891534581944,0.6551496903431628,-0.42295324997486905,0.6551092587702366,-6.171539292504358e-05,0.9999382865114307,3/3
