compiler,circuit,status,qubits,two_qubit_gates,compile_wall_seconds,compiler_total_seconds,cir_duration,cir_fidelity,error_type,error
zac,toy,ok,6,4,8.000996800001303,6.462712049484253,423.49772472443914,0.9549988305636287,,
zac_search,toy,ok,6,4,6.670266799999808,5.067439794540405,423.49772472443914,0.9549988305636287,,
