benchmark_scale,benchmark_directory,upstream_path,upstream_git_blob,source_sha256,selection_reason,canonical_profile,canonical_status,canonical_error,canonical_sha256,qubits,gates_1q,gates_2q,strict_paired,pairing_reason,fidelity_paired,M1__fidelity,M1__log_fidelity,M1__transfers,M1__move_batches,M1__move_time_ms,M1__algorithm_time_s,M1__valid_over_N,M1__status,M1__terminal_status,M1__fidelity_ood,M1__seed_policy,M2__fidelity,M2__log_fidelity,M2__transfers,M2__move_batches,M2__move_time_ms,M2__algorithm_time_s,M2__valid_over_N,M2__status,M2__terminal_status,M2__fidelity_ood,M2__seed_policy,M3__fidelity,M3__log_fidelity,M3__transfers,M3__move_batches,M3__move_time_ms,M3__algorithm_time_s,M3__valid_over_N,M3__status,M3__terminal_status,M3__fidelity_ood,M3__seed_policy,M3__initial_placement_s,M3__problem_preparation_s,M3__native_search_s,M3__search_kernel_s,M3__return_match_s,M3__forecast_s,M3__result_commit_s,M3__routing_s,M4__fidelity,M4__log_fidelity,M4__transfers,M4__move_batches,M4__move_time_ms,M4__algorithm_time_s,M4__valid_over_N,M4__status,M4__terminal_status,M4__fidelity_ood,M4__seed_policy,M4__initial_placement_s,M4__problem_preparation_s,M4__native_search_s,M4__search_kernel_s,M4__return_match_s,M4__forecast_s,M4__result_commit_s,M4__routing_s
large,adder_n64,large/adder_n64/adder_n64_transpiled.qasm,7e395434b6f4976f173bf6ad99aef90140497813,6ce40276dbb6b3756f12e4db55faf86e7fb230e65de3caf4a4da6d62f3ede4f8,preferred_transpiled,qasmbench_standard_expand_v1,success,,83a87b6630d8ea3b2c2292a8f4691a98717787202438770bad864ee8ef15f5ae,64,1611,455,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
large,bv_n140,large/bv_n140/bv_n140_transpiled.qasm,0cae8de0c48f41c7de88f71c09b2997ac1fe19bf,71f8c3ca5a844d0215596b587c171bb951913a6209d9b4e1d5706f03f4787eaf,preferred_transpiled,qasmbench_standard_expand_v1,success,,cf8b920f41dbdea7bb13e9c533cf81d5a38154f1bf6c38f46e6ca4626bee54f4,140,981,72,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
large,bv_n280,large/bv_n280/bv_n280_transpiled.qasm,313e2e91a9224bf88207349dc9fcbaf77a4bb2de,52b75d3c277ebf0a3300fb4cb362b5ac28d3d278e2589a1a4a8e6e09629bd7f9,preferred_transpiled,qasmbench_standard_expand_v1,success,,0ae507fc47f2703e540665bf65fa0f59a41010f00a737772f758f9d81e7ac00c,280,1981,152,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
large,bv_n30,large/bv_n30/bv_n30_transpiled.qasm,a5b5498f0d072b9ef76a8b4b0100bb4fbe0d3f53,48bc8031e0bfccc378bbc4f24253323db39cbae66c508ea3f6b959b4f291e13b,preferred_transpiled,qasmbench_standard_expand_v1,success,,d27b2a72bfe5a4f80bde8728ae2e6f80b6961ba7151912442710969ed44d96cd,30,213,18,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
large,bv_n70,large/bv_n70/bv_n70_transpiled.qasm,5fa3e7c60ed203b9981484c5190ca2437cd3dbb9,db5715af58699540b6844971985ba8d97e7bcd20238c4f8e8117bd153912c737,preferred_transpiled,qasmbench_standard_expand_v1,success,,01b7ac0b7707dbedf0db44420862187e3de1907227f7b2306d61514e3d61e381,70,489,36,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
large,bwt_n177,large/bwt_n177/bwt_n177.qasm,92519d38ae58c67158fb273db1f433fe235e6c1b,03da49fcf30b7532d0f62e59d6c5ac5b961623a6d386a245c1a18405d9e256f9,preferred_named,qasmbench_standard_expand_v1,canonical_error,QASMBenchCanonicalError: reset at line 6,,,,,False,canonical_error,False,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,
large,bwt_n37,large/bwt_n37/bwt_n37_transpiled.qasm,e55932cef16944756becd0753070cfb04bc086ee,6b8c7734e71c6af287e3fe394e2938308c15c6fdf57b262dbb14f7e6b3aa8204,preferred_transpiled,qasmbench_standard_expand_v1,canonical_error,QASMBenchCanonicalError: reset at line 146,,,,,False,canonical_error,False,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,
large,bwt_n57,large/bwt_n57/bwt_n57_transpiled.qasm,0cb9da19b7c9d8b8827d0d47a06b416c8c8a6b0e,9a048061dfe3d6de28225bf7dfea6e121a6b64bd96dda503f9e8eb674e6ef1b3,preferred_transpiled,qasmbench_standard_expand_v1,canonical_error,QASMBenchCanonicalError: reset at line 254,,,,,False,canonical_error,False,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,
large,bwt_n97,large/bwt_n97/bwt_n97_transpiled.qasm,f0cfea640e53a279717b6325872a933842a9524b,523b4867864fc1a9dad709b4144a30ea2988b7d0462a24410708411a63dade11,preferred_transpiled,qasmbench_standard_expand_v1,canonical_error,QASMBenchCanonicalError: reset at line 477,,,,,False,canonical_error,False,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,
large,cat_n130,large/cat_n130/cat_n130_transpiled.qasm,405e6305f734a26898296e206c28691b54414266,8a1971fa8b1a23b053976af953f4a0908ec5ce0e44553038052dc73e176175fc,preferred_transpiled,qasmbench_standard_expand_v1,success,,3e7834ac30843cc3a3baa703354287827089cd1c02ff99bcb4fe06f354b95033,130,261,129,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
